Question,Answer,Card Type,Source File
"For self-sufficient individuals, trade immediately allows them to enjoy {{c1::greater variety}} in their consumption.",greater variety,cloze,examples/Microeconomics.pdf
"What shape is the farmer's production possibilities frontier in this example, and what does it imply about their technology?","It is a straight line, implying their technology allows them to switch between goods at a constant rate.",qa,examples/Microeconomics.pdf
"The farmer's production possibilities frontier is a {{c1::straight line}}, indicating a constant rate of switching between goods.",straight line,cloze,examples/Microeconomics.pdf
What shape is the rancher's production possibilities frontier in this example?,A straight line.,qa,examples/Microeconomics.pdf
The rancher's production possibilities frontier is also a {{c1::straight line}}.,straight line,cloze,examples/Microeconomics.pdf
"While production possibilities frontiers show tradeoffs, what additional information is needed to determine what individuals will actually choose to produce and consume?",The tastes (preferences) of the individuals.,qa,examples/Microeconomics.pdf
"To determine actual production and consumption choices from a PPF, one needs to know the {{c1::tastes}} of the individuals.",tastes,cloze,examples/Microeconomics.pdf
How does trade generally affect the set of consumption opportunities for individuals?,"Trade expands the set of consumption opportunities, allowing individuals to consume combinations of goods that would be impossible in the absence of trade.",qa,examples/Microeconomics.pdf
Trade allows each individual to consume more of {{c1::both}} goods.,both,cloze,examples/Microeconomics.pdf
"In the example, what was the farmer's consumption of meat and potatoes without trade?",1 lb meat and 2 lbs potatoes (point A),qa,examples/Microeconomics.pdf
"In the example, what was the rancher's consumption of meat and potatoes without trade?",20 lbs meat and 2 1/2 lbs potatoes (point B),qa,examples/Microeconomics.pdf
What specific trade deal did the rancher propose to the farmer?,The rancher would give 3 pounds of meat in return for 1 pound of potatoes.,qa,examples/Microeconomics.pdf
"After the proposed trade, what was the farmer's consumption of meat and potatoes?",3 lbs meat and 3 lbs potatoes (point A*),qa,examples/Microeconomics.pdf
"After the proposed trade, what was the rancher's consumption of meat and potatoes?",21 lbs meat and 3 lbs potatoes (point B*),qa,examples/Microeconomics.pdf
What was the farmer's net increase in consumption from trade?,2 lbs meat and 1 lb potatoes,qa,examples/Microeconomics.pdf
What was the rancher's net increase in consumption from trade?,1 lb meat and 1/2 lb potatoes,qa,examples/Microeconomics.pdf
The farmer's consumption increased from 1 lb meat and 2 lbs potatoes to {{c1::3 lbs meat and 3 lbs potatoes}} with trade.,3 lbs meat and 3 lbs potatoes,cloze,examples/Microeconomics.pdf
The rancher's consumption increased from 20 lbs meat and 2 1/2 lbs potatoes to {{c1::21 lbs meat and 3 lbs potatoes}} with trade.,21 lbs meat and 3 lbs potatoes,cloze,examples/Microeconomics.pdf
"According to the rancher, how can both parties benefit from trade?",Trade allows each party to specialize in doing what they do best.,qa,examples/Microeconomics.pdf
"As a result of {{c1::specialization}} and trade, each person can consume more of both goods without working more hours.",specialization,cloze,examples/Microeconomics.pdf
"In the farmer/rancher example, how did the farmer specialize?",The farmer spent more time growing potatoes and less time raising cattle.,qa,examples/Microeconomics.pdf
"In the farmer/rancher example, how did the rancher specialize?",The rancher spent more time raising cattle and less time growing potatoes.,qa,examples/Microeconomics.pdf
"Economists use the term {{c1::absolute advantage}} when comparing the productivity of one person, firm, or nation to that of another.",absolute advantage,cloze,examples/Microeconomics.pdf
Define absolute advantage.,The producer that requires a smaller quantity of inputs to produce a good is said to have an absolute advantage in producing that good.,qa,examples/Microeconomics.pdf
"In the example, who has an absolute advantage in producing potatoes and why?","The rancher, because she needs only 8 hours to produce a pound of potatoes, while the farmer needs 10 hours.",qa,examples/Microeconomics.pdf
"In the example, who has an absolute advantage in producing meat and why?","The rancher, because she needs only 1 hour to produce a pound of meat, while the farmer needs 20 hours.",qa,examples/Microeconomics.pdf
"In the farmer/rancher example, the {{c1::rancher}} has an absolute advantage in producing both meat and potatoes.",rancher,cloze,examples/Microeconomics.pdf
The {{c1::opportunity cost}} of some item is what we give up to get that item.,opportunity cost,cloze,examples/Microeconomics.pdf
Define opportunity cost.,Whatever must be given up to obtain some item.,qa,examples/Microeconomics.pdf
What is the rancher's opportunity cost of 1 pound of potatoes?,8 pounds of meat.,qa,examples/Microeconomics.pdf
What is the farmer's opportunity cost of 1 pound of potatoes?,1/2 pound of meat.,qa,examples/Microeconomics.pdf
What is the rancher's opportunity cost of 1 pound of meat?,1/8 pound of potatoes.,qa,examples/Microeconomics.pdf
What is the farmer's opportunity cost of 1 pound of meat?,2 pounds of potatoes.,qa,examples/Microeconomics.pdf
The opportunity cost of meat is the {{c1::inverse}} of the opportunity cost of potatoes.,inverse,cloze,examples/Microeconomics.pdf
Economists use the term {{c1::comparative advantage}} when describing the opportunity cost of two producers.,comparative advantage,cloze,examples/Microeconomics.pdf
Define comparative advantage.,"The producer who has the smaller opportunity cost of producing a good—that is, who has to give up less of other goods to produce it.",qa,examples/Microeconomics.pdf
"In the example, who has a comparative advantage in growing potatoes and why?","The farmer, because his opportunity cost of 1 pound of potatoes (1/2 pound of meat) is lower than the rancher's (8 pounds of meat).",qa,examples/Microeconomics.pdf
"In the example, who has a comparative advantage in producing meat and why?","The rancher, because her opportunity cost of 1 pound of meat (1/8 pound of potatoes) is lower than the farmer's (2 pounds of potatoes).",qa,examples/Microeconomics.pdf
Is it possible for the same person to have a comparative advantage in both goods?,"No, because the opportunity cost of one good is the inverse of the opportunity cost of the other, meaning if one is relatively high, the other must be relatively low.",qa,examples/Microeconomics.pdf
Comparative advantage reflects the {{c1::relative opportunity cost}}.,relative opportunity cost,cloze,examples/Microeconomics.pdf
What creates the gains from trade?,Differences in opportunity cost and comparative advantage.,qa,examples/Microeconomics.pdf
How does specialization based on comparative advantage lead to gains from trade?,"When each person specializes in producing the good for which they have a comparative advantage, total production in the economy rises, and this increase can make everyone better off.",qa,examples/Microeconomics.pdf
"From the farmer's perspective, why was the trade deal beneficial?","The farmer bought meat at a price of 1/3 pound of potatoes, which was lower than his opportunity cost of 2 pounds of potatoes for 1 pound of meat.",qa,examples/Microeconomics.pdf
"From the rancher's perspective, why was the trade deal beneficial?","The rancher bought potatoes at a price of 3 pounds of meat, which was lower than her opportunity cost of 8 pounds of meat for 1 pound of potatoes.",qa,examples/Microeconomics.pdf
Trade can benefit everyone in society because it allows people to specialize in activities in which they have a {{c1::comparative advantage}}.,comparative advantage,cloze,examples/Microeconomics.pdf
"Adam Smith's 1776 book, {{c1::An Inquiry into the Nature and Causes of the Wealth of Nations}}, was a landmark in the analysis of trade.",An Inquiry into the Nature and Causes of the Wealth of Nations,cloze,examples/Microeconomics.pdf
Which economist developed the principle of comparative advantage as we know it today?,David Ricardo,qa,examples/Microeconomics.pdf
"David Ricardo developed the principle of comparative advantage in his 1817 book, {{c1::Principles of Political Economy and Taxation}}.",Principles of Political Economy and Taxation,cloze,examples/Microeconomics.pdf
What is the general consensus among economists regarding free trade?,"Economists are united in their support of free trade, based largely on the principle of comparative advantage.",qa,examples/Microeconomics.pdf
The principle of comparative advantage explains {{c1::interdependence}} and the {{c2::gains from trade}}.,interdependence; gains from trade,cloze,examples/Microeconomics.pdf
Robinson Crusoe can gather 10 coconuts or catch 1 fish per hour. What is Crusoe's opportunity cost of catching one fish?,10 coconuts,qa,examples/Microeconomics.pdf
Friday can gather 30 coconuts or catch 2 fish per hour. What is Friday's opportunity cost of catching one fish?,15 coconuts (30 coconuts / 2 fish),qa,examples/Microeconomics.pdf
Robinson Crusoe can gather 10 coconuts or catch 1 fish per hour. What is Crusoe's opportunity cost of gathering one coconut?,1/10 fish,qa,examples/Microeconomics.pdf
Friday can gather 30 coconuts or catch 2 fish per hour. What is Friday's opportunity cost of gathering one coconut?,1/15 fish (2 fish / 30 coconuts),qa,examples/Microeconomics.pdf
Who has an absolute advantage in catching fish between Crusoe (1 fish/hr) and Friday (2 fish/hr)?,Friday,qa,examples/Microeconomics.pdf
Who has an absolute advantage in gathering coconuts between Crusoe (10 coconuts/hr) and Friday (30 coconuts/hr)?,Friday,qa,examples/Microeconomics.pdf
Who has a comparative advantage in catching fish between Crusoe (OC: 10 coconuts) and Friday (OC: 15 coconuts)?,Robinson Crusoe,qa,examples/Microeconomics.pdf
Who has a comparative advantage in gathering coconuts between Crusoe (OC: 1/10 fish) and Friday (OC: 1/15 fish)?,Friday,qa,examples/Microeconomics.pdf
What is the definition of opportunity cost?,Whatever must be given up to obtain some item.,qa,examples/Microeconomics.pdf
The {{c1::opportunity cost}} of an item is whatever must be given up to obtain it.,opportunity cost,cloze,examples/Microeconomics.pdf
What is absolute advantage?,The ability to produce a good using fewer inputs than another producer.,qa,examples/Microeconomics.pdf
A producer has an {{c1::absolute advantage}} if they can produce a good using fewer inputs than another producer.,absolute advantage,cloze,examples/Microeconomics.pdf
What is comparative advantage?,The ability to produce a good at a lower opportunity cost than another producer.,qa,examples/Microeconomics.pdf
A producer has a {{c1::comparative advantage}} if they can produce a good at a lower opportunity cost than another producer.,comparative advantage,cloze,examples/Microeconomics.pdf
"In the Tiger Woods example, how long does it take Woods to mow his lawn?",2 hours,qa,examples/Microeconomics.pdf
"In the Tiger Woods example, Woods can mow his lawn in {{c1::2 hours}}.",2 hours,cloze,examples/Microeconomics.pdf
"In the Tiger Woods example, what could Woods earn in the 2 hours it takes him to mow his lawn?","$10,000 (by filming a Nike commercial)",qa,examples/Microeconomics.pdf
"In the Tiger Woods example, Woods's opportunity cost of mowing his lawn is {{c1::$10,000}}.","$10,000",cloze,examples/Microeconomics.pdf
"In the Tiger Woods example, how long does it take Forrest Gump to mow Woods's lawn?",4 hours,qa,examples/Microeconomics.pdf
"In the Tiger Woods example, Forrest Gump can mow Woods's lawn in {{c1::4 hours}}.",4 hours,cloze,examples/Microeconomics.pdf
"In the Tiger Woods example, what could Forrest Gump earn in the 4 hours it takes him to mow the lawn?",$20 (by working at McDonald's),qa,examples/Microeconomics.pdf
"In the Tiger Woods example, Forrest Gump's opportunity cost of mowing the lawn is {{c1::$20}}.",$20,cloze,examples/Microeconomics.pdf
"In the Tiger Woods example, who has an absolute advantage in mowing lawns?",Tiger Woods (he can do it in less time),qa,examples/Microeconomics.pdf
"In the Tiger Woods example, {{c1::Tiger Woods}} has an absolute advantage in mowing lawns.",Tiger Woods,cloze,examples/Microeconomics.pdf
"In the Tiger Woods example, who has a comparative advantage in mowing lawns?",Forrest Gump (he has the lower opportunity cost),qa,examples/Microeconomics.pdf
"In the Tiger Woods example, {{c1::Forrest Gump}} has a comparative advantage in mowing lawns.",Forrest Gump,cloze,examples/Microeconomics.pdf
"According to the principle of comparative advantage, should Tiger Woods mow his own lawn?","No, he should make the commercial and hire Forrest, as both would be better off.",qa,examples/Microeconomics.pdf
"For both Tiger Woods and Forrest Gump to be better off, Woods must pay Forrest more than {{c1::$20}} and less than {{c2::$10,000}}.","$20; $10,002",cloze,examples/Microeconomics.pdf
What are goods produced abroad and sold domestically called?,Imports,qa,examples/Microeconomics.pdf
Goods produced abroad and sold domestically are called {{c1::imports}}.,imports,cloze,examples/Microeconomics.pdf
What are goods produced domestically and sold abroad called?,Exports,qa,examples/Microeconomics.pdf
Goods produced domestically and sold abroad are called {{c1::exports}}.,exports,cloze,examples/Microeconomics.pdf
What is a common barrier to free trade among countries?,Tariffs,qa,examples/Microeconomics.pdf
Tariffs are {{c1::taxes on the import of goods from abroad}}.,taxes on the import of goods from abroad,cloze,examples/Microeconomics.pdf
Until what year did U.S. sheep producers receive subsidies for wool?,1995,qa,examples/Microeconomics.pdf
U.S. sheep producers lost government subsidies for wool in {{c1::1995}}.,1995,cloze,examples/Microeconomics.pdf
"After losing subsidies, what did U.S. sheep producers seek to stop foreign competition?","Import relief (by filing an ""escape clause"" petition)",qa,examples/Microeconomics.pdf
Almost all U.S. lamb imports come from which two countries?,Australia and New Zealand,qa,examples/Microeconomics.pdf
Australia and {{c1::New Zealand}} are major agricultural producers with a crushing comparative advantage in lamb.,New Zealand,cloze,examples/Microeconomics.pdf
Why do Australia and New Zealand have a comparative advantage in producing lamb?,"They have invested substantial resources in new technology and effective marketing, making them highly efficient producers, and have a large sheep population relative to people.",qa,examples/Microeconomics.pdf
New Zealand has fewer than four million people but as many as {{c1::60 million}} sheep.,60 million,cloze,examples/Microeconomics.pdf
How many sheep are there in the U.S. compared to New Zealand?,About seven million in the U.S. compared to 60 million in New Zealand.,qa,examples/Microeconomics.pdf
"The {{c1::Trade Act of 1974}} allows temporary ""breathing space"" protection to import-competing industries through an ""escape clause"" petition.",Trade Act of 1974,cloze,examples/Microeconomics.pdf
What is the role of the U.S. International Trade Commission (ITC) in import relief petitions?,"It determines whether imports are a cause of ""serious injury"" to the domestic industry and proposes a remedy.",qa,examples/Microeconomics.pdf
"In the lamb tariff case, the ITC did not find ""serious injury"" but rather a weaker ruling that imports were a ""{{c1::substantial cause of threat of serious injury}}.""",substantial cause of threat of serious injury,cloze,examples/Microeconomics.pdf
What was the initial tariff proposed by the ITC for lamb imports?,A 20% tariff (declining over four years) on imports above last year’s levels.,qa,examples/Microeconomics.pdf
President Clinton's final decision on lamb tariffs included a 9% tariff on all imports (declining) and a {{c1::40%}} tariff on imports above last year's levels (declining).,40%,cloze,examples/Microeconomics.pdf
"Who led the congressional charge for higher lamb tariffs, as mentioned in the article?","Sen. Max Baucus (D., Mont.), whose sister was a sheep producer.",qa,examples/Microeconomics.pdf
The lamb tariff decision was seen as undercutting the administration's {{c1::free-trade rhetoric}} and harming efforts to reduce trade barriers.,free-trade rhetoric,cloze,examples/Microeconomics.pdf
What was the international reaction to President Clinton's lamb tariff decision?,"It outraged farmers in Australia and New Zealand, who vowed to take the U.S. to a WTO dispute settlement panel.",qa,examples/Microeconomics.pdf
"In 1947, President Truman resisted special interest pressure and vetoed a bill to impose import quotas on {{c1::wool}}.",wool,cloze,examples/Microeconomics.pdf
"In the US vs. Japan example, how many cars can an American worker produce per month?",1 car,qa,examples/Microeconomics.pdf
"In the US vs. Japan example, how many cars can a Japanese worker produce per month?",1 car,qa,examples/Microeconomics.pdf
"In the US vs. Japan example, how many tons of food can an American worker produce per month?",2 tons,qa,examples/Microeconomics.pdf
"In the US vs. Japan example, how many tons of food can a Japanese worker produce per month?",1 ton,qa,examples/Microeconomics.pdf
"In the US vs. Japan example, what is the opportunity cost of 1 car in the United States?",2 tons of food,qa,examples/Microeconomics.pdf
"In the US vs. Japan example, the opportunity cost of 1 car in the United States is {{c1::2 tons of food}}.",2 tons of food,cloze,examples/Microeconomics.pdf
"In the US vs. Japan example, what is the opportunity cost of 1 car in Japan?",1 ton of food,qa,examples/Microeconomics.pdf
"In the US vs. Japan example, the opportunity cost of 1 car in Japan is {{c1::1 ton of food}}.",1 ton of food,cloze,examples/Microeconomics.pdf
"In the US vs. Japan example, what is the opportunity cost of 1 ton of food in the United States?",1/2 car,qa,examples/Microeconomics.pdf
"In the US vs. Japan example, the opportunity cost of 1 ton of food in the United States is {{c1::1/2 car}}.",1/2 car,cloze,examples/Microeconomics.pdf
"In the US vs. Japan example, what is the opportunity cost of 1 ton of food in Japan?",1 car,qa,examples/Microeconomics.pdf
"In the US vs. Japan example, the opportunity cost of 1 ton of food in Japan is {{c1::1 car}}.",1 car,cloze,examples/Microeconomics.pdf
"In the US vs. Japan example, which country has a comparative advantage in producing cars?",Japan (lower opportunity cost of 1 ton of food per car),qa,examples/Microeconomics.pdf
"In the US vs. Japan example, {{c1::Japan}} has a comparative advantage in producing cars.",Japan,cloze,examples/Microeconomics.pdf
"In the US vs. Japan example, which country has a comparative advantage in producing food?",The United States (lower opportunity cost of 1/2 car per ton of food),qa,examples/Microeconomics.pdf
"In the US vs. Japan example, the {{c1::United States}} has a comparative advantage in producing food.",United States,cloze,examples/Microeconomics.pdf
"According to the principle of comparative advantage, what should Japan specialize in and export in the US vs. Japan example?",Cars,qa,examples/Microeconomics.pdf
"According to the principle of comparative advantage, what should the United States specialize in and export in the US vs. Japan example?",Food,qa,examples/Microeconomics.pdf
What is the main benefit of specialization and trade between countries?,Both countries can have more food and more cars (greater quantity and variety of goods and services).,qa,examples/Microeconomics.pdf
The principle of comparative advantage states that each good should be produced by the country that has the {{c1::smaller opportunity cost}} of producing that good.,smaller opportunity cost,cloze,examples/Microeconomics.pdf
"While international trade makes the country as a whole better off, it can make {{c1::some individuals worse off}}.",some individuals worse off,cloze,examples/Microeconomics.pdf
Why is interdependence and trade desirable?,They allow everyone to enjoy a greater quantity and variety of goods and services.,qa,examples/Microeconomics.pdf
"The gains from trade are based on {{c1::comparative advantage}}, not absolute advantage.",comparative advantage,cloze,examples/Microeconomics.pdf
Trade makes everyone better off because it allows people to specialize in activities where they have a {{c1::comparative advantage}}.,comparative advantage,cloze,examples/Microeconomics.pdf
Economists use the principle of comparative advantage to advocate for {{c1::free trade}} among countries.,free trade,cloze,examples/Microeconomics.pdf
Suppose the world’s fastest typist is also trained in brain surgery. Should he do his own typing or hire a secretary? Explain.,"He should hire a secretary. His opportunity cost of typing is very high (the income he could earn from brain surgery). By hiring a secretary, he can specialize in brain surgery, where he has a comparative advantage, and both he and the secretary will be better off.",qa,examples/Microeconomics.pdf
"In free societies, how are resources allocated among billions of people?",Through the market forces of supply and demand.,qa,examples/Microeconomics.pdf
What is the {{c1::opportunity cost}} of an item?,What you give up to get that item.,cloze,examples/Microeconomics.pdf
How is the opportunity cost of producing a good determined?,It is the amount of another good that must be given up to produce one unit of the first good.,qa,examples/Microeconomics.pdf
"A producer has an {{c1::absolute advantage}} in the production of a good if they can produce it using fewer inputs (e.g., less time or resources) than another producer.",absolute advantage,cloze,examples/Microeconomics.pdf
What does it mean for a country to have an absolute advantage in producing a good?,"It means the country can produce that good using fewer resources (e.g., worker hours) than another country.",qa,examples/Microeconomics.pdf
A producer has a {{c1::comparative advantage}} in the production of a good if they can produce it at a lower opportunity cost than another producer.,comparative advantage,cloze,examples/Microeconomics.pdf
What is comparative advantage?,The ability to produce a good at a lower opportunity cost than another producer.,qa,examples/Microeconomics.pdf
Can two countries achieve gains from trade even if one has an absolute advantage in the production of all goods?,"Yes, as long as they have different comparative advantages.",qa,examples/Microeconomics.pdf
Two countries can achieve gains from trade even if one of the countries has an {{c1::absolute advantage}} in the production of all goods.,absolute advantage,cloze,examples/Microeconomics.pdf
Why might a professor with an absolute advantage in all tasks still pay a student to collect data?,"It is sensible if the student has a comparative advantage in data collection (lower opportunity cost), allowing the professor to specialize in writing, where their comparative advantage is likely even greater, maximizing overall productivity.",qa,examples/Microeconomics.pdf
Is it true that certain very talented people have a comparative advantage in everything they do?,"No, this statement is false. Comparative advantage is about relative opportunity cost, so if someone has a lower opportunity cost in one activity, they must have a higher opportunity cost in another.",qa,examples/Microeconomics.pdf
"Is it true that if a certain trade is good for one person, it can't be good for the other one?","No, this statement is false. Trade based on comparative advantage allows both parties to be better off by specializing and exchanging goods.",qa,examples/Microeconomics.pdf
"If two parties decide to trade, which commodity will a party with a comparative advantage in that commodity typically trade away?","The party will trade away the commodity in which it has a comparative advantage (i.e., the good it can produce at a lower opportunity cost).",qa,examples/Microeconomics.pdf
"For trade to make both parties better off, the price of the traded good must lie between what two values?",The price must lie between the two parties' opportunity costs for that good.,qa,examples/Microeconomics.pdf
What are the two forces that make market economies work?,Supply and demand.,qa,examples/Microeconomics.pdf
What do supply and demand determine in a market economy?,The quantity of each good produced and the price at which it is sold.,qa,examples/Microeconomics.pdf
A {{c1::market}} is a group of buyers and sellers of a particular good or service.,market,cloze,examples/Microeconomics.pdf
Define a market.,A group of buyers and sellers of a particular good or service.,qa,examples/Microeconomics.pdf
"In a market, who determines the demand for a product?",The buyers as a group.,qa,examples/Microeconomics.pdf
"In a market, who determines the supply of a product?",The sellers as a group.,qa,examples/Microeconomics.pdf
A market in which there are many buyers and many sellers so that each has a negligible impact on the market price is called a {{c1::competitive market}}.,competitive market,cloze,examples/Microeconomics.pdf
What is a competitive market?,"A market in which there are many buyers and many sellers, so that each has a negligible impact on the market price.",qa,examples/Microeconomics.pdf
"In a competitive market, how are the price and quantity of a good determined?","By all buyers and sellers as they interact in the marketplace, not by any single buyer or seller.",qa,examples/Microeconomics.pdf
Why does a seller in a competitive market have limited control over the price?,"Because other sellers are offering similar products, and buyers will purchase elsewhere if the price is too high.",qa,examples/Microeconomics.pdf
Why can't a single buyer influence the price in a competitive market?,"Because each buyer purchases only a small amount relative to the total market, so their individual demand has a negligible impact.",qa,examples/Microeconomics.pdf
What is the first primary characteristic of perfectly competitive markets?,The goods being offered for sale are all the same (homogeneous).,qa,examples/Microeconomics.pdf
One primary characteristic of perfectly competitive markets is that the goods being offered for sale are all {{c1::the same}}.,the same,cloze,examples/Microeconomics.pdf
What is the second primary characteristic of perfectly competitive markets?,The buyers and sellers are so numerous that no single buyer or seller can influence the market price.,qa,examples/Microeconomics.pdf
"In perfectly competitive markets, buyers and sellers are so {{c1::numerous}} that no single buyer or seller can influence the market price.",numerous,cloze,examples/Microeconomics.pdf
Buyers and sellers in perfectly competitive markets are called {{c1::price takers}}.,price takers,cloze,examples/Microeconomics.pdf
"Why are buyers and sellers in perfectly competitive markets referred to as ""price takers""?","Because they must accept the price the market determines, as they have no individual power to influence it.",qa,examples/Microeconomics.pdf
What is an example of a perfectly competitive market mentioned in the text?,The wheat market.,qa,examples/Microeconomics.pdf
"A market with only one seller, who sets the price, is called a {{c1::monopoly}}.",monopoly,cloze,examples/Microeconomics.pdf
Describe a monopoly market structure.,"A market with only one seller, and this seller sets the price.",qa,examples/Microeconomics.pdf
A market with a few sellers that do not always compete aggressively is known as an {{c1::oligopoly}}.,oligopoly,cloze,examples/Microeconomics.pdf
What is an oligopoly?,A market that has a few sellers that do not always compete aggressively.,qa,examples/Microeconomics.pdf
"A market that contains many sellers, each offering a slightly different product, is called {{c1::monopolistically competitive}}.",monopolistically competitive,cloze,examples/Microeconomics.pdf
What are the characteristics of a monopolistically competitive market?,"Many sellers, each offering a slightly different product, giving each seller some ability to set the price for its own product.",qa,examples/Microeconomics.pdf
"Why do economists often begin by studying perfect competition, despite the diversity of market types?","Perfectly competitive markets are the easiest to analyze, and many lessons learned apply to more complicated markets due to the presence of some degree of competition.",qa,examples/Microeconomics.pdf
What is {{c1::quantity demanded}}?,The amount of the good that buyers are willing and able to purchase.,cloze,examples/Microeconomics.pdf
Define quantity demanded.,The amount of a good that buyers are willing and able to purchase.,qa,examples/Microeconomics.pdf
"What is the key role of prices in market economies, as determined by supply and demand?",Allocating scarce resources.,qa,examples/Microeconomics.pdf
"Prices, determined by supply and demand, play a key role in {{c1::allocating scarce resources}} in market economies.",allocating scarce resources,cloze,examples/Microeconomics.pdf
What is the relationship between price and quantity demanded for most goods?,"The quantity demanded is negatively related to the price; as price rises, quantity demanded falls, and as price falls, quantity demanded rises.",qa,examples/Microeconomics.pdf
The quantity demanded is {{c1::negatively related}} to the price.,negatively related,cloze,examples/Microeconomics.pdf
Define the law of demand.,"Other things equal, when the price of a good rises, the quantity demanded of the good falls.",qa,examples/Microeconomics.pdf
"The {{c1::law of demand}} states that, other things equal, when the price of a good rises, the quantity demanded of the good falls.",law of demand,cloze,examples/Microeconomics.pdf
What happens to the demand for most goods if your income falls?,Demand would most likely fall.,qa,examples/Microeconomics.pdf
"A good for which, other things equal, an increase in income leads to an increase in demand is called a {{c1::normal good}}.",normal good,cloze,examples/Microeconomics.pdf
Define a normal good.,"A good for which, other things equal, an increase in income leads to an increase in demand.",qa,examples/Microeconomics.pdf
"If the demand for a good falls when income falls, the good is called a {{c1::normal good}}.",normal good,cloze,examples/Microeconomics.pdf
Define an inferior good.,"A good for which, other things equal, an increase in income leads to a decrease in demand (or demand rises when income falls).",qa,examples/Microeconomics.pdf
"A good for which, other things equal, an increase in income leads to a decrease in demand is called an {{c1::inferior good}}.",inferior good,cloze,examples/Microeconomics.pdf
Bus rides are given as an example of an {{c1::inferior good}}.,inferior good,cloze,examples/Microeconomics.pdf
What happens to the demand for ice cream if the price of frozen yogurt falls?,The demand for ice cream would likely fall because they are substitutes.,qa,examples/Microeconomics.pdf
Define substitutes in economics.,Two goods for which an increase in the price of one leads to an increase in the demand for the other (or a fall in price of one reduces demand for the other).,qa,examples/Microeconomics.pdf
"When a fall in the price of one good reduces the demand for another good, the two goods are called {{c1::substitutes}}.",substitutes,cloze,examples/Microeconomics.pdf
Hot dogs and hamburgers are examples of {{c1::substitutes}}.,substitutes,cloze,examples/Microeconomics.pdf
What happens to the demand for ice cream if the price of hot fudge falls?,The demand for ice cream would likely rise because they are complements.,qa,examples/Microeconomics.pdf
Define complements in economics.,Two goods for which an increase in the price of one leads to a decrease in the demand for the other (or a fall in price of one raises demand for the other).,qa,examples/Microeconomics.pdf
"When a fall in the price of one good raises the demand for another good, the two goods are called {{c1::complements}}.",complements,cloze,examples/Microeconomics.pdf
Gasoline and automobiles are examples of {{c1::complements}}.,complements,cloze,examples/Microeconomics.pdf
How do tastes affect demand?,"If you like a good, you buy more of it; a change in tastes can increase or decrease demand.",qa,examples/Microeconomics.pdf
How do expectations about the future affect current demand?,"Expectations about future income or prices can affect current willingness to spend. For example, expecting a higher income next month might increase current demand.",qa,examples/Microeconomics.pdf
"If you expect the price of ice cream to fall tomorrow, how might it affect your demand for ice cream today?","You may be less willing to buy ice cream at today's price, decreasing current demand.",qa,examples/Microeconomics.pdf
What is a demand schedule?,A table that shows the relationship between the price of a good and the quantity demanded.,qa,examples/Microeconomics.pdf
A table that shows the relationship between the price of a good and the quantity demanded is called a {{c1::demand schedule}}.,demand schedule,cloze,examples/Microeconomics.pdf
What is a demand curve?,A graph of the relationship between the price of a good and the quantity demanded.,qa,examples/Microeconomics.pdf
A graph of the relationship between the price of a good and the quantity demanded is called the {{c1::demand curve}}.,demand curve,cloze,examples/Microeconomics.pdf
"On a demand curve graph, which axis represents price and which represents quantity demanded?","Price is on the vertical axis, and quantity demanded is on the horizontal axis.",qa,examples/Microeconomics.pdf
Why does the demand curve slope downward?,"Because a lower price increases the quantity demanded, consistent with the law of demand.",qa,examples/Microeconomics.pdf
The demand curve slopes {{c1::downward}} because a lower price increases the quantity demanded.,downward,cloze,examples/Microeconomics.pdf
What does the Latin phrase 'ceteris paribus' mean in economics?,"It means 'other things being equal,' used as a reminder that all variables other than the ones being studied are assumed to be constant.",qa,examples/Microeconomics.pdf
"Economists use the term {{c1::ceteris paribus}} to signify that all relevant variables, except those being studied, are held constant.",ceteris paribus,cloze,examples/Microeconomics.pdf
What is market demand?,The sum of all the individual demands for a particular good or service.,qa,examples/Microeconomics.pdf
The sum of all the individual demands for a particular good or service is called {{c1::market demand}}.,market demand,cloze,examples/Microeconomics.pdf
How is the market demand curve derived from individual demand curves?,By adding horizontally the individual demand curves (summing the individual quantities demanded at each price).,qa,examples/Microeconomics.pdf
The market demand curve is found by adding {{c1::horizontally}} the individual demand curves.,horizontally,cloze,examples/Microeconomics.pdf
What factors determine market demand?,"Buyers' incomes, tastes, expectations, prices of related goods, and the number of buyers.",qa,examples/Microeconomics.pdf
What causes a movement along the demand curve?,A change in the price of the good itself.,qa,examples/Microeconomics.pdf
A change in the price of a good represents a {{c1::movement along}} the demand curve.,movement along,cloze,examples/Microeconomics.pdf
What causes a shift in the demand curve?,"A change in any determinant of demand other than the good's price (income, prices of related goods, tastes, expectations, or number of buyers).",qa,examples/Microeconomics.pdf
A change in income causes the demand curve to {{c1::shift}}.,shift,cloze,examples/Microeconomics.pdf
A change in tastes causes the demand curve to {{c1::shift}}.,shift,cloze,examples/Microeconomics.pdf
A change in the number of buyers causes the demand curve to {{c1::shift}}.,shift,cloze,examples/Microeconomics.pdf
What does a rightward shift of the demand curve signify?,"An increase in demand, meaning buyers wish to purchase a larger quantity at every given price.",qa,examples/Microeconomics.pdf
Any change that raises the quantity that buyers wish to purchase at a given price shifts the demand curve to the {{c1::right}}.,right,cloze,examples/Microeconomics.pdf
What does a leftward shift of the demand curve signify?,"A decrease in demand, meaning buyers wish to purchase a smaller quantity at every given price.",qa,examples/Microeconomics.pdf
